frame,player_id,tacticam_bbox,broadcast_bbox
29,310,"[811, 562, 856, 622]","[1620, 450, 1684, 527]"
29,311,"[338, 365, 382, 410]","[911, 543, 966, 633]"
29,312,"[769, 255, 804, 305]","[1535, 492, 1605, 581]"
29,313,"[1662, 470, 1704, 531]","[1541, 447, 1581, 512]"
29,314,"[756, 388, 781, 444]","[1895, 585, 1920, 686]"
29,315,"[718, 346, 745, 400]","[281, 509, 321, 613]"
30,316,"[1327, 793, 1368, 867]","[1509, 699, 1594, 819]"
30,317,"[1327, 793, 1368, 867]","[1611, 449, 1681, 526]"
30,318,"[320, 482, 359, 546]","[1320, 474, 1400, 561]"
30,319,"[449, 207, 481, 264]","[1605, 556, 1664, 666]"
30,320,"[1327, 793, 1368, 867]","[679, 697, 726, 823]"
30,321,"[336, 405, 368, 455]","[999, 538, 1063, 628]"
30,322,"[320, 482, 359, 546]","[913, 543, 970, 631]"
30,323,"[1103, 480, 1134, 540]","[875, 592, 940, 701]"
30,324,"[320, 482, 359, 546]","[1533, 490, 1598, 583]"
30,325,"[336, 405, 368, 455]","[1538, 447, 1581, 513]"
30,326,"[449, 207, 481, 264]","[1900, 582, 1920, 686]"
31,327,"[1329, 793, 1369, 865]","[1501, 698, 1586, 819]"
31,328,"[590, 124, 628, 165]","[999, 535, 1064, 630]"
31,329,"[450, 207, 487, 263]","[1601, 555, 1669, 662]"
31,330,"[450, 207, 487, 263]","[1321, 476, 1397, 564]"
31,331,"[1329, 793, 1369, 865]","[679, 692, 729, 816]"
31,332,"[450, 207, 487, 263]","[913, 542, 974, 636]"
31,333,"[450, 207, 487, 263]","[1533, 492, 1590, 586]"
31,334,"[811, 561, 841, 622]","[1611, 451, 1663, 531]"
31,335,"[450, 207, 487, 263]","[876, 596, 934, 702]"
31,336,"[1491, 247, 1514, 295]","[1542, 446, 1579, 511]"
31,337,"[755, 388, 780, 445]","[1901, 584, 1920, 685]"
32,338,"[274, 714, 322, 779]","[1506, 699, 1573, 819]"
32,339,"[450, 209, 491, 262]","[1596, 555, 1672, 657]"
32,340,"[1332, 792, 1369, 863]","[680, 689, 733, 807]"
32,341,"[338, 404, 381, 452]","[998, 534, 1061, 631]"
32,342,"[450, 209, 491, 262]","[1320, 478, 1393, 564]"
32,343,"[450, 209, 491, 262]","[916, 540, 977, 635]"
32,344,"[322, 480, 366, 537]","[880, 597, 927, 700]"
32,345,"[1699, 343, 1725, 402]","[1616, 451, 1647, 531]"
32,346,"[1099, 480, 1138, 539]","[1537, 490, 1580, 585]"
32,347,"[803, 166, 829, 212]","[1902, 587, 1920, 686]"
32,348,"[1099, 480, 1138, 539]","[1533, 447, 1577, 530]"
32,349,"[274, 714, 322, 779]","[1518, 478, 1565, 533]"
32,350,"[1332, 792, 1369, 863]","[1520, 454, 1574, 534]"
33,351,"[807, 558, 844, 621]","[682, 687, 738, 801]"
33,352,"[807, 558, 844, 621]","[1498, 699, 1557, 821]"
33,353,"[453, 211, 494, 264]","[1589, 554, 1666, 657]"
33,354,"[326, 479, 367, 536]","[1318, 479, 1388, 564]"
33,355,"[1698, 343, 1718, 403]","[1610, 452, 1644, 531]"
